iter	Passed	Remaining
449	2849	3482
450	2855	3475
451	2861	3468
452	2867	3462
453	2873	3455
454	2879	3448
455	2885	3442
456	2891	3435
457	2897	3429
458	2904	3422
459	2910	3416
460	2916	3409
461	2922	3403
462	2931	3400
463	2943	3400
464	2950	3394
465	2956	3388
466	2962	3381
467	2968	3374
468	2974	3368
469	2981	3361
470	2987	3355
471	2993	3348
472	2999	3341
473	3006	3335
474	3012	3329
475	3018	3322
476	3024	3316
477	3030	3309
478	3038	3304
479	3044	3298
480	3051	3292
481	3057	3286
482	3064	3280
483	3070	3273
484	3076	3266
485	3081	3259
486	3087	3252
487	3093	3246
488	3100	3239
489	3106	3233
490	3112	3226
491	3119	3220
492	3125	3214
493	3132	3208
494	3138	3202
495	3145	3196
496	3151	3189
497	3158	3183
498	3163	3176
499	3169	3169
500	3174	3162
501	3180	3155
502	3186	3148
503	3191	3141
504	3197	3134
505	3203	3127
506	3208	3120
507	3214	3113
508	3220	3106
509	3225	3099
510	3231	3092
511	3237	3085
512	3242	3078
513	3248	3071
514	3254	3064
515	3260	3058
516	3266	3051
517	3272	3044
518	3278	3038
519	3285	3033
520	3291	3026
521	3297	3019
522	3303	3013
523	3309	3006
524	3315	2999
525	3321	2993
526	3326	2986
527	3332	2979
528	3337	2971
529	3343	2964
530	3349	2957
531	3355	2951
532	3361	2945
533	3367	2938
534	3373	2932
535	3379	2925
536	3385	2918
537	3391	2912
538	3397	2905
539	3402	2898
540	3408	2891
541	3413	2884
542	3419	2877
543	3425	2871
544	3431	2864
545	3438	2858
546	3443	2852
547	3449	2845
548	3455	2838
549	3461	2831
550	3466	2825
551	3472	2818
552	3479	2812
553	3485	2805
554	3491	2799
555	3497	2793
556	3503	2786
557	3510	2780
558	3515	2773
559	3521	2767
560	3527	2760
561	3533	2754
562	3539	2747
563	3545	2740
564	3551	2733
565	3556	2727
566	3563	2721
567	3569	2715
568	3576	2708
569	3581	2702
570	3588	2695
571	3594	2689
572	3600	2683
573	3607	2677
574	3613	2670
575	3619	2664
576	3624	2657
577	3630	2650
578	3635	2643
579	3641	2637
580	3647	2630
581	3653	2623
582	3659	2617
583	3665	2611
584	3671	2604
585	3677	2598
586	3683	2591
587	3688	2584
588	3694	2578
589	3700	2571
590	3705	2564
591	3711	2557
592	3716	2550
593	3721	2543
594	3727	2537
595	3733	2530
596	3738	2523
597	3744	2517
598	3749	2510
599	3755	2503
600	3761	2497
601	3766	2490
602	3772	2483
603	3778	2477
604	3784	2470
605	3789	2463
606	3795	2457
607	3800	2450
608	3806	2443
609	3812	2437
610	3819	2431
611	3824	2424
612	3830	2418
613	3836	2412
614	3842	2405
615	3848	2398
616	3853	2392
617	3859	2385
618	3865	2379
619	3872	2373
620	3878	2367
621	3884	2360
622	3889	2353
623	3896	2347
624	3901	2341
625	3907	2334
626	3914	2328
627	3920	2322
628	3927	2316
629	3934	2310
630	3940	2304
631	3946	2298
632	3952	2291
633	3959	2285
634	3966	2280
635	3975	2275
636	3982	2269
637	3988	2263
638	3994	2256
639	4000	2250
640	4006	2244
641	4012	2237
642	4019	2231
643	4025	2225
644	4030	2218
645	4036	2211
646	4042	2205
647	4048	2199
648	4053	2192
649	4059	2185
650	4065	2179
651	4071	2173
652	4077	2166
653	4082	2160
654	4088	2153
655	4093	2146
656	4099	2140
657	4104	2133
658	4111	2127
659	4117	2121
660	4123	2114
661	4129	2108
662	4134	2101
663	4140	2095
664	4146	2088
665	4152	2082
666	4158	2076
667	4164	2069
668	4171	2063
669	4176	2057
670	4182	2050
671	4187	2044
672	4193	2037
673	4198	2030
674	4204	2024
675	4210	2017
676	4216	2011
677	4222	2005
678	4228	1999
679	4234	1992
680	4239	1986
681	4246	1979
682	4254	1974
683	4260	1968
684	4266	1962
685	4273	1956
686	4279	1949
687	4285	1943
688	4291	1937
689	4297	1930
690	4302	1923
691	4308	1917
692	4313	1911
693	4319	1904
694	4325	1898
695	4331	1892
696	4338	1885
697	4344	1879
698	4350	1873
699	4355	1866
700	4361	1860
701	4366	1853
702	4373	1847
703	4379	1841
704	4385	1834
705	4390	1828
706	4396	1821
707	4404	1816
708	4410	1810
709	4416	1803
710	4421	1797
711	4427	1790
712	4433	1784
713	4439	1778
714	4445	1771
715	4451	1765
716	4456	1759
717	4463	1752
718	4468	1746
719	4474	1740
720	4480	1733
721	4486	1727
722	4492	1721
723	4498	1714
724	4503	1708
725	4509	1701
726	4514	1695
727	4520	1688
728	4526	1682
729	4532	1676
730	4539	1670
731	4545	1664
732	4552	1658
733	4558	1651
734	4564	1645
735	4570	1639
736	4576	1633
737	4582	1626
738	4588	1620
739	4593	1614
740	4600	1607
741	4606	1601
742	4612	1595
743	4619	1589
744	4625	1583
745	4631	1576
746	4637	1570
747	4643	1564
748	4650	1558
749	4656	1552
750	4662	1545
751	4668	1539
752	4673	1533
753	4679	1526
754	4684	1520
755	4690	1514
756	4696	1507
757	4701	1501
758	4708	1495
759	4713	1488
760	4719	1482
761	4724	1475
762	4730	1469
763	4735	1462
764	4741	1456
765	4747	1450
766	4753	1443
767	4758	1437
768	4764	1431
769	4769	1424
770	4775	1418
771	4780	1411
772	4786	1405
773	4792	1399
774	4798	1393
775	4804	1386
776	4810	1380
777	4816	1374
778	4822	1368
779	4827	1361
780	4833	1355
781	4839	1349
782	4844	1342
783	4850	1336
784	4856	1330
785	4863	1324
786	4869	1317
787	4875	1311
788	4880	1305
789	4886	1299
790	4892	1292
791	4898	1286
792	4904	1280
793	4910	1274
794	4916	1267
795	4922	1261
796	4928	1255
797	4934	1249
798	4940	1242
799	4946	1236
800	4951	1230
801	4957	1223
802	4962	1217
803	4968	1211
804	4974	1205
805	4981	1199
806	4993	1194
807	5001	1188
808	5007	1182
809	5014	1176
810	5020	1170
811	5026	1163
812	5032	1157
813	5038	1151
814	5044	1144
815	5049	1138
816	5055	1132
817	5061	1126
818	5067	1119
819	5073	1113
820	5079	1107
821	5086	1101
822	5091	1095
823	5097	1088
824	5102	1082
825	5108	1076
826	5114	1069
827	5119	1063
828	5125	1057
829	5130	1050
830	5137	1044
831	5143	1038
832	5149	1032
833	5155	1026
834	5161	1019
835	5166	1013
836	5172	1007
837	5178	1001
838	5184	994
839	5190	988
840	5196	982
841	5202	976
842	5208	970
843	5214	963
844	5220	957
845	5225	951
846	5233	945
847	5239	939
848	5246	933
849	5252	926
850	5257	920
851	5263	914
852	5268	907
853	5274	901
854	5280	895
855	5286	889
856	5292	883
857	5297	876
858	5303	870
859	5310	864
860	5315	858
861	5321	851
862	5326	845
863	5332	839
864	5337	833
865	5343	826
866	5348	820
867	5354	814
868	5360	808
869	5366	801
870	5372	795
871	5378	789
872	5384	783
873	5390	777
874	5396	770
875	5402	764
876	5408	758
877	5414	752
878	5419	746
879	5425	739
880	5431	733
881	5437	727
882	5443	721
883	5450	715
884	5455	708
885	5462	702
886	5467	696
887	5472	690
888	5479	684
889	5486	678
890	5492	671
891	5499	665
892	5505	659
893	5511	653
894	5517	647
895	5524	641
896	5530	635
897	5536	628
898	5542	622
899	5548	616
900	5554	610
901	5560	604
902	5566	597
903	5572	591
904	5577	585
905	5583	579
906	5589	573
907	5594	566
908	5600	560
909	5605	554
910	5611	548
911	5617	542
912	5622	535
913	5629	529
914	5634	523
915	5640	517
916	5646	511
917	5651	504
918	5657	498
919	5663	492
920	5668	486
921	5674	480
922	5680	473
923	5686	467
924	5692	461
925	5699	455
926	5704	449
927	5710	443
928	5716	436
929	5722	430
930	5727	424
931	5733	418
932	5740	412
933	5745	406
934	5751	399
935	5757	393
936	5763	387
937	5769	381
938	5774	375
939	5781	369
940	5787	362
941	5794	356
942	5800	350
943	5805	344
944	5811	338
945	5817	332
946	5822	325
947	5828	319
948	5834	313
949	5845	307
950	5852	301
951	5859	295
952	5865	289
953	5871	283
954	5877	276
955	5883	270
956	5890	264
957	5896	258
958	5901	252
959	5907	246
960	5913	239
961	5919	233
962	5924	227
963	5929	221
964	5935	215
965	5941	209
966	5946	202
967	5951	196
968	5957	190
969	5962	184
970	5968	178
971	5974	172
972	5979	165
973	5986	159
974	5992	153
975	5999	147
976	6004	141
977	6010	135
978	6015	129
979	6020	122
980	6027	116
981	6034	110
982	6040	104
983	6047	98
984	6052	92
985	6058	86
986	6064	79
987	6070	73
988	6076	67
989	6082	61
990	6088	55
991	6094	49
992	6099	42
993	6104	36
994	6110	30
995	6115	24
996	6121	18
997	6127	12
998	6132	6
999	6138	0
