iter	RMSE
431	19.4379113
432	19.43679062
433	19.43568894
434	19.43422997
435	19.43338561
436	19.43217453
437	19.4309886
438	19.42935016
439	19.42830434
440	19.42685439
441	19.42581989
442	19.42437179
443	19.42266635
444	19.42098585
445	19.41992742
446	19.41828706
447	19.41719031
448	19.41585618
449	19.41453636
450	19.41324597
451	19.41223561
452	19.41144102
453	19.41079308
454	19.41008653
455	19.4087108
456	19.40776593
457	19.40687487
458	19.4061855
459	19.40531596
460	19.40419031
461	19.40304052
462	19.40193115
463	19.40078337
464	19.40030327
465	19.39942038
466	19.39805864
467	19.39704768
468	19.39625668
469	19.39457935
470	19.39340669
471	19.39194077
472	19.39128897
473	19.38976082
474	19.38900608
475	19.38777108
476	19.38650644
477	19.38492058
478	19.3838338
479	19.38325872
480	19.38185283
481	19.3810437
482	19.3801319
483	19.37939643
484	19.37898303
485	19.3781933
486	19.37755908
487	19.37697556
488	19.3755056
489	19.37429028
490	19.37331814
491	19.37194456
492	19.37078982
493	19.36997268
494	19.36869639
495	19.36754396
496	19.36640281
497	19.36526195
498	19.36437649
499	19.36382987
500	19.36318796
501	19.36209745
502	19.36143112
503	19.36029078
504	19.3588426
505	19.35829643
506	19.3577621
507	19.3564936
508	19.35540906
509	19.35432475
510	19.353262
511	19.35183616
512	19.350921
513	19.34987551
514	19.34858605
515	19.34716442
516	19.34604085
517	19.34526615
518	19.3440297
519	19.34328994
520	19.34257236
521	19.34222514
522	19.3410846
523	19.34008211
524	19.33858274
525	19.33705731
526	19.33639149
527	19.33555798
528	19.33525024
529	19.3343505
530	19.33370315
531	19.33258531
532	19.33143058
533	19.330606
534	19.32925583
535	19.32822616
536	19.32678175
537	19.3255341
538	19.32386279
539	19.32273441
540	19.32194573
541	19.32113797
542	19.32052705
543	19.31938852
544	19.31803365
545	19.31701667
546	19.31569524
547	19.31506793
548	19.31470147
549	19.31403872
550	19.31257427
551	19.31153656
552	19.31029627
553	19.31003533
554	19.30864334
555	19.30752077
556	19.30643737
557	19.3057437
558	19.30514558
559	19.30434339
560	19.30325775
561	19.30254405
562	19.30165444
563	19.30070285
564	19.30004698
565	19.29951012
566	19.29885348
567	19.29785988
568	19.29706414
569	19.29657311
570	19.29577574
571	19.29494181
572	19.29415901
573	19.29296722
574	19.29177992
575	19.29101407
576	19.28947264
577	19.28860458
578	19.28710018
579	19.2858601
580	19.28529262
581	19.28449075
582	19.28356048
583	19.28267866
584	19.28216029
585	19.28171689
586	19.28033849
587	19.27914209
588	19.27798417
589	19.27684729
590	19.2759122
591	19.2751808
592	19.27475761
593	19.27380289
594	19.27328749
595	19.27212971
596	19.27157534
597	19.27114801
598	19.27036235
599	19.26922365
600	19.26824097
601	19.26765651
602	19.26712188
603	19.26587398
604	19.26456982
605	19.26425568
606	19.26328984
607	19.26267077
608	19.26142284
609	19.26024166
610	19.25959968
611	19.25871157
612	19.25731015
613	19.25675874
614	19.25645386
615	19.25565949
616	19.25478944
617	19.25372254
618	19.25265319
619	19.25137678
620	19.24982066
621	19.24893686
622	19.24792197
623	19.24708082
624	19.24646306
625	19.24568866
626	19.24491826
627	19.24397528
628	19.2429383
629	19.2420677
630	19.2409859
631	19.24045077
632	19.23962584
633	19.23871085
634	19.23806712
635	19.23706341
636	19.23613607
637	19.23546359
638	19.23445061
639	19.23365544
640	19.23305196
641	19.23228454
642	19.23133241
643	19.23002788
644	19.22940653
645	19.22879726
646	19.22771618
647	19.22670332
648	19.22607549
649	19.2252645
650	19.22411298
651	19.22317156
652	19.22261929
653	19.22136213
654	19.2203042
655	19.21973223
656	19.21928834
657	19.21868598
658	19.21765235
659	19.21674999
660	19.2158539
661	19.21471634
662	19.21364485
663	19.21288367
664	19.21191946
665	19.21103135
666	19.21023797
667	19.20951091
668	19.2081768
669	19.20728158
670	19.20625076
671	19.20523224
672	19.20422184
673	19.20323632
674	19.2025152
675	19.20159766
676	19.20049709
677	19.19948206
678	19.19848852
679	19.19785035
680	19.19700876
681	19.19566136
682	19.19492444
683	19.19381754
684	19.19295813
685	19.19212917
686	19.1912726
687	19.1902613
688	19.18925469
689	19.18870155
690	19.18787842
691	19.18677021
692	19.18592499
693	19.18503988
694	19.18397807
695	19.18295193
696	19.18195115
697	19.18098375
698	19.17985867
699	19.17897456
700	19.17835993
701	19.17782479
702	19.17687271
703	19.17568231
704	19.17465644
705	19.17364446
706	19.17261659
707	19.17164195
708	19.17084119
709	19.1700171
710	19.16936352
711	19.16870752
712	19.1676696
713	19.16712425
714	19.16668706
715	19.16602571
716	19.16531552
717	19.16457088
718	19.16388807
719	19.16325983
720	19.16232873
721	19.16125907
722	19.15984536
723	19.15884548
724	19.15832547
725	19.15770468
726	19.15690468
727	19.15610232
728	19.15547824
729	19.15496888
730	19.15448207
731	19.15348821
732	19.15303142
733	19.15203719
734	19.15131198
735	19.15062195
736	19.14960073
737	19.14913352
738	19.14865593
739	19.14775238
740	19.14719929
741	19.1465735
742	19.14595266
743	19.14474885
744	19.14429282
745	19.14300001
746	19.14205866
747	19.14148826
748	19.14046877
749	19.13976385
750	19.13870001
751	19.13747096
752	19.13663707
753	19.13594295
754	19.13518284
755	19.13419963
756	19.13324313
757	19.1326599
758	19.13173536
759	19.13125615
760	19.1306474
761	19.13028556
762	19.12966147
763	19.12886187
764	19.12766151
765	19.12657449
766	19.12609361
767	19.12572739
768	19.12562341
769	19.1248555
770	19.12419779
771	19.12329826
772	19.12249922
773	19.12167347
774	19.12092985
775	19.12039032
776	19.11968385
777	19.11894567
778	19.11836524
779	19.11732689
780	19.1160712
781	19.11510461
782	19.11455456
783	19.11390716
784	19.11308863
785	19.11201288
786	19.11125966
787	19.11031823
788	19.10996556
789	19.1086743
790	19.10774465
791	19.10684906
792	19.10577756
793	19.10501907
794	19.10414565
795	19.10337084
796	19.10236171
797	19.10186104
798	19.10110627
799	19.10015479
800	19.0993785
801	19.09861833
802	19.09773325
803	19.09724681
804	19.0963724
805	19.09553692
806	19.09465883
807	19.09408332
808	19.09321989
809	19.09222897
810	19.09139938
811	19.09087575
812	19.09027528
813	19.08912165
814	19.08850578
815	19.08731086
816	19.08657986
817	19.08566908
818	19.0849975
819	19.08427755
820	19.08375156
821	19.0831752
822	19.08248162
823	19.08188017
824	19.08116708
825	19.08036883
826	19.07998163
827	19.07943548
828	19.0786707
829	19.07815171
830	19.07710752
831	19.07656934
832	19.07627026
833	19.07540572
834	19.07456479
835	19.07383264
836	19.07293485
837	19.07191807
838	19.07057678
839	19.06959183
840	19.06860147
841	19.06765634
842	19.06699981
843	19.06628911
844	19.06509902
845	19.06490507
846	19.06443097
847	19.06389391
848	19.06295685
849	19.06166318
850	19.06142974
851	19.06054443
852	19.0600507
853	19.05896776
854	19.05819052
855	19.05769844
856	19.05716208
857	19.05669838
858	19.05615395
859	19.05517487
860	19.05471214
861	19.05363801
862	19.05299596
863	19.05236578
864	19.05151055
865	19.05125884
866	19.05108874
867	19.05022045
868	19.04982497
869	19.0487979
870	19.04776682
871	19.04715422
872	19.04639728
873	19.0457358
874	19.04484968
875	19.04368364
876	19.04313634
877	19.04235076
878	19.04183538
879	19.04099534
880	19.04041933
881	19.04007214
882	19.03941463
883	19.03858138
884	19.03779151
885	19.03698542
886	19.03639431
887	19.03605557
888	19.03512599
889	19.03421595
890	19.03367289
891	19.03275445
892	19.03244987
893	19.03171755
894	19.03147831
895	19.03087846
896	19.02989521
897	19.02946409
898	19.0283983
899	19.02776921
900	19.02694555
901	19.02614333
902	19.02524347
903	19.02442479
904	19.02402138
905	19.02310068
906	19.02248358
907	19.02208852
908	19.02159359
909	19.02112753
910	19.02056229
911	19.01995623
912	19.01896395
913	19.01784544
914	19.01690388
915	19.01621792
916	19.01555294
917	19.01492733
918	19.01434097
919	19.01398048
920	19.01386763
921	19.01292566
922	19.01232855
923	19.01189866
924	19.01168527
925	19.01097433
926	19.01000374
927	19.00897734
928	19.00837728
929	19.00721342
930	19.00610636
931	19.00548825
932	19.00488416
933	19.00409252
934	19.00300628
935	19.00270223
936	19.00214471
937	19.00170812
938	19.0012964
939	19.00045413
940	18.99979575
941	18.99933934
942	18.99869705
943	18.99829357
944	18.99781602
945	18.99706554
946	18.99644786
947	18.99561832
948	18.99462334
949	18.99371416
950	18.99328545
951	18.99257871
952	18.99187359
953	18.99135216
954	18.99084146
955	18.99056831
956	18.98970798
957	18.98855851
958	18.98758392
959	18.98663238
960	18.98621384
961	18.98569414
962	18.98522585
963	18.98477633
964	18.98467579
965	18.98419416
966	18.98358841
967	18.98349071
968	18.98322702
969	18.98280663
970	18.98197631
971	18.98123888
972	18.9811704
973	18.98045903
974	18.97973587
975	18.97894871
976	18.97855852
977	18.97808263
978	18.97758541
979	18.97736068
980	18.9762803
981	18.9755043
982	18.97482889
983	18.97450307
984	18.97398488
985	18.97317296
986	18.9724836
987	18.97195026
988	18.97146743
989	18.97089124
990	18.97027183
991	18.96925548
992	18.96919083
993	18.96911579
994	18.96856315
995	18.96783144
996	18.96735092
997	18.96658704
998	18.96583496
999	18.96530346
